brand,breadcrumbs,colour,description,image_urls,price,primary_image_url,product_id,product_name,product_url,reviews,sizes,sku
,"Home,Shop All,Tops,Marion Bra Top",White,"Fabrics: Powerstretch interlock, moisture management, quick dry and anti-odour","//carbon38.com/cdn/shop/files/GOLD-GB250-33-251-WHTBLK-Marion-color-White_9039-Edit.jpg?v=1741899646&width=1000,//carbon38.com/cdn/shop/files/GOLD-GB250-33-251-WHTBLK-Marion-color-White_9031-Edit.jpg?v=1741899646&width=1000,//carbon38.com/cdn/shop/files/GOLD-GB250-33-251-WHTBLK-Marion-color-White_9046-Edit.jpg?v=1741899618&width=1000,//carbon38.com/cdn/shop/files/GOLD-GB250-33-251-WHTBLK-Marion-color-White_9054-Edit.jpg?v=1741899618&width=1000,//carbon38.com/cdn/shop/files/GOLD-GB250-33-251-WHTBLK-Marion-color-White_9059-Edit.jpg?v=1741899618&width=1000",$179.00 USD,//carbon38.com/cdn/shop/files/GOLD-GB250-33-251-WHTBLK-Marion-color-White_9039-Edit.jpg?v=1741899646&width=1000,7901235380413,Marion Bra Top,https://carbon38.com/products/marion-white,0,"XS,S,M,L,XL",GOLD-GB250-33-251-WHTBLK-XS
CARBON38,"Home,Shop All,Tops,Peplum Zip Up",Cream,"73% VISCOSE, 15% POLY, 11% NYLON, 1% SPANDEX","//carbon38.com/cdn/shop/files/CARB-YD615-WHT-24HOL-Peplum-Zip-Up-color-Cream_5211-Edit.jpg?v=1733951620&width=1000,//carbon38.com/cdn/shop/files/CARB-YD615-WHT-24HOL-Peplum-Zip-Up-color-Cream_5243-Edit.jpg?v=1733951620&width=1000,//carbon38.com/cdn/shop/files/CARB-YD615-WHT-24HOL-Peplum-Zip-Up-color-Cream_5222-Edit.jpg?v=1733951620&width=1000,//carbon38.com/cdn/shop/files/CARB-YD615-WHT-24HOL-Peplum-Zip-Up-color-Cream_5237-Edit.jpg?v=1733951620&width=1000,//carbon38.com/cdn/shop/files/CARB-YD615-WHT-24HOL-Peplum-Zip-Up-color-Cream_4569-Edit.jpg?v=1733951620&width=1000",$151.00 USD,//carbon38.com/cdn/shop/files/CARB-YD615-WHT-24HOL-Peplum-Zip-Up-color-Cream_5211-Edit.jpg?v=1733951620&width=1000,7891344031933,Peplum Zip Up,https://carbon38.com/products/peplum-zip-up-cream,0,"XS,S,M,L,XL",CARB-YD563-IVRY-24HOL-XS
LUNE,"Home,Shop All,Tops,Olly Cropped Striped Sweater",Beige Melange,"78% ECOVERO™ Viscose, 22% Polyamide","//carbon38.com/cdn/shop/files/LUNE-LA1467-NUDEOFFWHI-Olly-Cropped-Stripped-Sweater-color-Beige-Melange_6400-Edit.jpg?v=1740792653&width=1000,//carbon38.com/cdn/shop/files/LUNE-LA1467-NUDEOFFWHI-Olly-Cropped-Stripped-Sweater-color-Beige-Melange_6386-Edit.jpg?v=1740792653&width=1000,//carbon38.com/cdn/shop/files/LUNE-LA1467-NUDEOFFWHI-Olly-Cropped-Stripped-Sweater-color-Beige-Melange_6405-Edit.jpg?v=1740792646&width=1000,//carbon38.com/cdn/shop/files/LUNE-LA1467-NUDEOFFWHI-Olly-Cropped-Stripped-Sweater-color-Beige-Melange_6410-Edit.jpg?v=1740792646&width=1000,//carbon38.com/cdn/shop/files/LUNE-LA1467-NUDEOFFWHI-Olly-Cropped-Stripped-Sweater-color-Beige-Melange_6416-Edit.jpg?v=1740792646&width=1000,//carbon38.com/cdn/shop/files/LUNE-LA1467-NUDEOFFWHI-Olly-Cropped-Stripped-Sweater-color-Beige-Melange_6431-Edit.jpg?v=1740792646&width=1000",$150.00 USD,//carbon38.com/cdn/shop/files/LUNE-LA1467-NUDEOFFWHI-Olly-Cropped-Stripped-Sweater-color-Beige-Melange_6400-Edit.jpg?v=1740792653&width=1000,7924411760829,Olly Cropped Striped Sweater,https://carbon38.com/products/olly-cropped-stripped-sweater-beige-melange,0,"XS,S,M,L,XL",LUNE-LA1467-NUDEOFFWHI-XS
CARBON38,"Home,Shop All,Tops,Colorblock Scoop Tank in Melt",Black/Cloud Dancer,81% Nylon 19% Spandex,"//carbon38.com/cdn/shop/files/CARB-YD371-BLK_WH-24HOL-Colorblock-Scoop-Tank-in-Melt-color-Black-Cloud-Dancer_10791-Edit.jpg?v=1736881984&width=1000,//carbon38.com/cdn/shop/files/CARB-YD371-BLK_WH-24HOL-Colorblock-Scoop-Tank-in-Melt-color-Black-Cloud-Dancer_10781-Edit.jpg?v=1736881984&width=1000,//carbon38.com/cdn/shop/files/CARB-YD371-BLK_WH-24HOL-Colorblock-Scoop-Tank-in-Melt-color-Black-Cloud-Dancer_10797-Edit.jpg?v=1736881984&width=1000,//carbon38.com/cdn/shop/files/CARB-YD371-BLK_WH-24HOL-Colorblock-Scoop-Tank-in-Melt-color-Black-Cloud-Dancer_10805-Edit.jpg?v=1736881984&width=1000,//carbon38.com/cdn/shop/files/CARB-YD371-BLK_WH-24HOL-Colorblock-Scoop-Tank-in-Melt-color-Black-Cloud-Dancer_10811-Edit.jpg?v=1736881984&width=1000,//carbon38.com/cdn/shop/files/CARB-YD371-BLK_WH-24HOL-Colorblock-Scoop-Tank-in-Melt-color-Black-Cloud-Dancer_10817-Edit.jpg?v=1736881984&width=1000,//carbon38.com/cdn/shop/files/BLACK-MELT_0079-Edit.jpg?v=1746833753&width=1000,//carbon38.com/cdn/shop/files/CARB-YD371-BLK_WH-24HOL-Colorblock-Scoop-Tank-in-Melt-color-Black-Cloud-Dancer_10535-Edit.jpg?v=1741298026&width=1000",$108.00 USD,//carbon38.com/cdn/shop/files/CARB-YD371-BLK_WH-24HOL-Colorblock-Scoop-Tank-in-Melt-color-Black-Cloud-Dancer_10791-Edit.jpg?v=1736881984&width=1000,7936767262909,Colorblock Scoop Tank in Melt,https://carbon38.com/products/colorblock-scoop-tank-in-melt-black-cloud-dancer,0,"XS,S,M,L,XL",CARB-YD371-BLK/WH-24HOL-XS
CARBON38,"Home,Shop All,Tops,High Neck Fitted Tank in Ribbed Jersey",Black,93% MICRO MODAL 7% SPADEX ,"//carbon38.com/cdn/shop/files/CARB-YD369-BLK-25SS-High-Neck-Fitted-Tank-in-Ribbed-Jersey-color-Black_5549-Edit.jpg?v=1738806575&width=1000,//carbon38.com/cdn/shop/files/CARB-YD369-BLK-25SS-High-Neck-Fitted-Tank-in-Ribbed-Jersey-color-Black_5558-Edit.jpg?v=1738806575&width=1000,//carbon38.com/cdn/shop/files/CARB-YD369-BLK-25SS-High-Neck-Fitted-Tank-in-Ribbed-Jersey-color-Black_5562-Edit.jpg?v=1738806575&width=1000,//carbon38.com/cdn/shop/files/CARB-YD369-BLK-25SS-High-Neck-Fitted-Tank-in-Ribbed-Jersey-color-Black_5532-Edit.jpg?v=1738806575&width=1000",$68.00 USD,//carbon38.com/cdn/shop/files/CARB-YD369-BLK-25SS-High-Neck-Fitted-Tank-in-Ribbed-Jersey-color-Black_5549-Edit.jpg?v=1738806575&width=1000,7885380354237,High Neck Fitted Tank in Ribbed Jersey,https://carbon38.com/products/high-neck-fitted-tank-in-ribbed-jersey-black,0,"XS,S,M,L,XL",CARB-YD369-BLK-25SS-XS
CARBON38,"Home,Shop All,Tops,One Shoulder Tank in Ribbed Jersey",Black,93% MICRO MODAL 7% SPADEX ,"//carbon38.com/cdn/shop/files/CARB-YD370-BLK-25SS-One-Shoulder-Tank-in-Ribbed-Jersey-color-Black_5440-Edit.jpg?v=1738807272&width=1000,//carbon38.com/cdn/shop/files/CARB-YD370-BLK-25SS-One-Shoulder-Tank-in-Ribbed-Jersey-color-Black_5427-Edit.jpg?v=1738807272&width=1000,//carbon38.com/cdn/shop/files/CARB-YD370-BLK-25SS-One-Shoulder-Tank-in-Ribbed-Jersey-color-Black_5448-Edit.jpg?v=1738806874&width=1000,//carbon38.com/cdn/shop/files/CARB-YD370-BLK-25SS-One-Shoulder-Tank-in-Ribbed-Jersey-color-Black_5450-Edit.jpg?v=1738806874&width=1000,//carbon38.com/cdn/shop/files/CARB-YD370-BLK-25SS-One-Shoulder-Tank-in-Ribbed-Jersey-color-Black_5458-Edit.jpg?v=1738806874&width=1000,//carbon38.com/cdn/shop/files/CARB-YD370-BLK-25SS-One-Shoulder-Tank-in-Ribbed-Jersey-color-Black_5462-Edit.jpg?v=1738806875&width=1000,//carbon38.com/cdn/shop/files/CARB-YD370-BLK-25SS-One-Shoulder-Tank-in-Ribbed-Jersey-color-Black_5515-Edit.jpg?v=1738806874&width=1000",$68.00 USD,//carbon38.com/cdn/shop/files/CARB-YD370-BLK-25SS-One-Shoulder-Tank-in-Ribbed-Jersey-color-Black_5440-Edit.jpg?v=1738807272&width=1000,7885399949501,One Shoulder Tank in Ribbed Jersey,https://carbon38.com/products/one-shoulder-tank-in-ribbed-jersey-black,0,"XS,S,M,L,XL",CARB-YD370-BLK-25SS-XS
NORMA KAMALI,"Home,Shop All,Tops,Cropped Shoulder Pad Long Sleeve Crew Top",Black,4-way stretch Poly Lycra.,"//carbon38.com/cdn/shop/files/NORMA-KK1246PLA96001-BLKBLK-Cropped-Shoulder-Pad-Long-Sleeve-Crew-Top-color-Black_10238-Edit.jpg?v=1744042877&width=1000,//carbon38.com/cdn/shop/files/NORMA-KK1246PLA96001-BLKBLK-Cropped-Shoulder-Pad-Long-Sleeve-Crew-Top-color-Black_10270-Edit.jpg?v=1744042877&width=1000,//carbon38.com/cdn/shop/files/NORMA-KK1246PLA96001-BLKBLK-Cropped-Shoulder-Pad-Long-Sleeve-Crew-Top-color-Black_10243-Edit.jpg?v=1744042877&width=1000,//carbon38.com/cdn/shop/files/NORMA-KK1246PLA96001-BLKBLK-Cropped-Shoulder-Pad-Long-Sleeve-Crew-Top-color-Black_10248-Edit.jpg?v=1744042877&width=1000,//carbon38.com/cdn/shop/files/NORMA-KK1246PLA96001-BLKBLK-Cropped-Shoulder-Pad-Long-Sleeve-Crew-Top-color-Black_10254-Edit.jpg?v=1744042877&width=1000,//carbon38.com/cdn/shop/files/NORMA-KK1246PLA96001-BLKBLK-Cropped-Shoulder-Pad-Long-Sleeve-Crew-Top-color-Black_10229-Edit.jpg?v=1744042877&width=1000",$105.00 USD,//carbon38.com/cdn/shop/files/NORMA-KK1246PLA96001-BLKBLK-Cropped-Shoulder-Pad-Long-Sleeve-Crew-Top-color-Black_10238-Edit.jpg?v=1744042877&width=1000,7892215136445,Cropped Shoulder Pad Long Sleeve Crew Top,https://carbon38.com/products/cropped-shoulder-pad-long-sleeve-crew-top-black,0,"XS,S,M,L,XL",NORMA-KK1246PLA96001-BLKBLK-XS
CARBON38,"Home,Shop All,Tops,Tennis Sleeveless Polo",Black/ White,80% VISCOSE 20% PBT,"//carbon38.com/cdn/shop/files/CARB-YD372-BLK_WH-25SS-Tennis-Sleeveless-Polo-color-Black-White_1200-Edit.jpg?v=1739317709&width=1000,//carbon38.com/cdn/shop/files/CARB-YD372-BLK_WH-25SS-Tennis-Sleeveless-Polo-color-Black-White_1219-Edit.jpg?v=1739317782&width=1000,//carbon38.com/cdn/shop/files/CARB-YD372-BLK_WH-25SS-Tennis-Sleeveless-Polo-color-Black-White_1211-Edit.jpg?v=1739317782&width=1000,//carbon38.com/cdn/shop/files/CARB-YD372-BLK_WH-25SS-Tennis-Sleeveless-Polo-color-Black-White_1209-Edit.jpg?v=1739317782&width=1000,//carbon38.com/cdn/shop/files/CARB-YD372-BLK_WH-25SS-Tennis-Sleeveless-Polo-color-Black-White_1215-Edit.jpg?v=1739317735&width=1000,//carbon38.com/cdn/shop/files/Tennis-Launch_11581-Edit-web.jpg?v=1741113869&width=1000,//carbon38.com/cdn/shop/files/Tennis-Launch_11617-Edit-web.jpg?v=1741113869&width=1000,//carbon38.com/cdn/shop/files/Tennis-Launch_11597-Edit-web.jpg?v=1741113869&width=1000,//carbon38.com/cdn/shop/files/SWEATER-POLO-BLACK_19156-Edit.jpg?v=1742402840&width=1000,//carbon38.com/cdn/shop/files/CARB-YD372-BLK-WH-25SS-Tennis-Sleeveless-Polo-color-Black-White_11973-Edit.jpg?v=1742402840&width=1000",$138.00 USD,//carbon38.com/cdn/shop/files/CARB-YD372-BLK_WH-25SS-Tennis-Sleeveless-Polo-color-Black-White_1200-Edit.jpg?v=1739317709&width=1000,7863808884925,Tennis Sleeveless Polo,https://carbon38.com/products/tennis-sleeveless-polo-black-white,0,"XS,S,M,L,XL",CARB-YD372-BLK/WH-25SS-XS
GREYSON,"Home,Shop All,Tops,Soleil Full Zip",Shepherd,,"//carbon38.com/cdn/shop/files/GRYSN-LFA24O58-BLKBLK-Soleil-Full-Zip-color-Shepherd_3784-Edit.jpg?v=1743532726&width=1000,//carbon38.com/cdn/shop/files/GRYSN-LFA24O58-BLKBLK-Soleil-Full-Zip-color-Shepherd_3771-Edit_d45ba126-e861-436e-ab92-7e5e7121d2ac.jpg?v=1743532726&width=1000,//carbon38.com/cdn/shop/files/GRYSN-LFA24O58-BLKBLK-Soleil-Full-Zip-color-Shepherd_3789-Edit.jpg?v=1743532721&width=1000,//carbon38.com/cdn/shop/files/GRYSN-LFA24O58-BLKBLK-Soleil-Full-Zip-color-Shepherd_3800-Edit.jpg?v=1743532721&width=1000,//carbon38.com/cdn/shop/files/GRYSN-LFA24O58-BLKBLK-Soleil-Full-Zip-color-Shepherd_3816-Edit.jpg?v=1743532721&width=1000",$198.00 USD,//carbon38.com/cdn/shop/files/GRYSN-LFA24O58-BLKBLK-Soleil-Full-Zip-color-Shepherd_3784-Edit.jpg?v=1743532726&width=1000,7863975837885,Soleil Full Zip,https://carbon38.com/products/soleil-full-zip-shepherd,0,"XS,S,M,L,XL",GRYSN-LFA24O58-BLKBLK-XS
THE UPSIDE,"Home,Shop All,Tops,Mimi Knit Tank",Black,,"//carbon38.com/cdn/shop/files/THEU-USW125049-BLKBLK-Mimi-Knit-Tank-color-Black_4329-Edit.jpg?v=1741624949&width=1000,//carbon38.com/cdn/shop/files/THEU-USW125049-BLKBLK-Mimi-Knit-Tank-color-Black_4311-Edit.jpg?v=1741624949&width=1000,//carbon38.com/cdn/shop/files/THEU-USW125049-BLKBLK-Mimi-Knit-Tank-color-Black_4333-Edit.jpg?v=1741624900&width=1000,//carbon38.com/cdn/shop/files/THEU-USW125049-BLKBLK-Mimi-Knit-Tank-color-Black_4341-Edit.jpg?v=1741624900&width=1000,//carbon38.com/cdn/shop/files/THEU-USW125049-BLKBLK-Mimi-Knit-Tank-color-Black_4352-Edit.jpg?v=1741624900&width=1000,//carbon38.com/cdn/shop/files/THEU-USW125049-BLKBLK-Mimi-Knit-Tank-color-Black_4374-Edit.jpg?v=1741624900&width=1000",$120.00 USD,//carbon38.com/cdn/shop/files/THEU-USW125049-BLKBLK-Mimi-Knit-Tank-color-Black_4329-Edit.jpg?v=1741624949&width=1000,7936553091261,Mimi Knit Tank,https://carbon38.com/products/mimi-knit-tank-black,0,"XS,S,M,L",THEU-USW125049-BLKBLK-XS
